Embedding Dim,RNN Units,Accuracy,Precision,F1 Score,Train Time,Predict Time
30,16,0.5545,0.7432432432432432,0.2831858407079646,258.133996963501,2.3709168434143066
30,32,0.8733,0.8565744600227359,0.8770976816374042,355.45312690734863,2.8705499172210693
30,64,0.8711,0.853953840332955,0.8750605796258603,839.4384109973907,5.4971888065338135
50,16,0.5824,0.5515619346279098,0.6865335535204924,312.8485441207886,2.482698917388916
50,32,0.6985,0.8008955223880597,0.6402577258083761,439.4538559913635,3.7938029766082764
50,64,0.8578,0.8426048984241503,0.8619149349388231,905.864413022995,5.363088130950928
70,16,0.5406,0.6514206514206514,0.2903923385851097,346.3851749897003,2.758161783218384
70,32,0.593,0.5533118828359037,0.7101965252064939,477.99117612838745,3.8225107192993164
70,64,0.7991,0.7473804846103471,0.8196426968309544,972.6692490577698,5.889023780822754
90,16,0.7837,0.8450433108758422,0.7645586154348536,384.5327718257904,2.8505730628967285
90,32,0.8611,0.8435849056603774,0.8655502855483497,533.7647330760956,3.8843421936035156
90,64,0.8644,0.8885599492493127,0.8610655737704919,1130.780812740326,6.146705150604248
