C,Penalty,Loss,Precision,Recall,F1 Score,Training Time,Prediction Time,Accuracy
0.001,l1,,0.0,0.0,0.0,0.06637406349182129,0.002361774444580078,0.4961
0.002,l1,,0.6047166019027201,0.8956142091684858,0.7219644856822909,0.05125832557678223,0.0008749961853027344,0.6524
0.003,l1,,0.6204481792717087,0.8791426870410796,0.7274817308481814,0.05428481101989746,0.0008869171142578125,0.6681
0.004,l1,,0.6702660406885759,0.8499702321889264,0.74949689386648,0.057492971420288086,0.0008487701416015625,0.7137
0.005,l1,,0.6921705300697033,0.8473903552292121,0.7619557458957888,0.07234692573547363,0.0008070468902587891,0.7332
0.006,l1,,0.705368906455863,0.8499702321889264,0.7709477094770949,0.08038091659545898,0.0008549690246582031,0.7455
0.007,l1,,0.7183898446634375,0.8535423695177614,0.7801559949210956,0.08518099784851074,0.0007798671722412109,0.7576
0.008,l1,,0.7276094276094276,0.8577098630680691,0.7873212496584389,0.08816695213317871,0.0007860660552978516,0.7665
0.009,l1,,0.73645903859174,0.8634649732089701,0.7949209829176943,0.10955286026000977,0.0008161067962646484,0.7755
0.01,l1,,0.7444198330209576,0.8670371105378051,0.8010634396773011,0.1343238353729248,0.0007839202880859375,0.783
0.011,l1,,0.7520618556701031,0.8686247271283984,0.8061515793351136,0.13306307792663574,0.0008351802825927734,0.7895
0.012,l1,,0.7601661187056584,0.8717999603095853,0.8121649103346276,0.15849518775939941,0.0008378028869628906,0.7968
0.013,l1,,0.7660981552384267,0.8735860289740027,0.8163189615206304,0.1499648094177246,0.000843048095703125,0.8019
0.014,l1,,0.7725758372786253,0.8743798372692995,0.8203314094209645,0.16355514526367188,0.0008382797241210938,0.807
0.015,l1,,0.7779538651170981,0.8767612621551896,0.8244075387199103,0.173173189163208,0.0008177757263183594,0.8118
0.016,l1,,0.7836546966212631,0.8791426870410796,0.828656939768051,0.14759182929992676,0.0008401870727539062,0.8168
0.017,l1,,0.7884171255995737,0.8807303036316729,0.832020997375328,0.22154927253723145,0.0008399486541748047,0.8208
0.018,l1,,0.7919415225530397,0.8815241119269697,0.8343350864012021,0.25284910202026367,0.0008339881896972656,0.8236
0.019,l1,,0.7947481243301179,0.8829132764437388,0.8365140547146752,0.19069194793701172,0.0008258819580078125,0.8261
0.02,l1,,0.7989949748743719,0.8835086326652114,0.8391292055414193,0.1996309757232666,0.0008771419525146484,0.8293
0.021,l1,,0.8018342024815681,0.8848977971819806,0.8413207547169811,0.24594402313232422,0.0008461475372314453,0.8318
0.022,l1,,0.8038897893030794,0.8858900575511014,0.8429003021148037,0.22801995277404785,0.0007841587066650391,0.8336
0.023,l1,,0.806282722513089,0.8862869616987498,0.8443940253356021,0.2807490825653076,0.0008699893951416016,0.8354
0.024,l1,,0.809876989869754,0.8884699345108157,0.847354973029242,0.3018648624420166,0.0008120536804199219,0.8387
